"Approved","Aprobado"
"Declined","Rechazado"
"Pending","Pendiente"
"Canceled","Cancelado"
"In Review","En revisión"
"Unrequested","No solicitado"
"Learn more","Aprenda más"
"This order already has associated case entity","Este orden ya se caso en la entidad asociada"
"The case entity should not be empty.","La entidad caso no debe estar vacía."
"Cannot update Case entity.","No se puede actualizar entidad caso."
"The ""%1"" should not be empty.","El ""%1"" no debe estar vacío."
"Case entity not found.","Caso entidad no encontrado."
"Case Update: New score for the order is %1. Previous score was %2.","Caso de actualización: Nueva puntuación para la orden es %1. Cuenta anterior era %2."
"Awaiting the Signifyd guarantee disposition.","En espera de la disposición de garantía de Signifyd."
"Only single entrance of ""%1"" node is required.","Solo se requiere la entrada única del nodo ""%1""."
"Not empty value for ""%1"" node is required.","No se requiere un valor vacío para el nodo ""%1""."
"%1 must implement %2","%1 debe implementar %2"
"Error","Error"
"Cannot generate message.","No se puede generar el mensaje."
"Message is generated.","Mensaje generado."
"Case with the same order id already exists.","El caso con el mismo Id de pedido ya existe."
"Fraud Protection Information","Información de Protección de Fraude"
"Signifyd Guarantee Decision","Decisión de garantía de Signifyd"
"Fraud Protection Section","Sección de Protección contra el Fraude"
"Fraud Protection","Protección contra fraude"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Proteja su tienda de fraude con la protección contra fraude garantizada de Signifyd."
"Configuration","Configuración"
"Enable this Solution","Habilitar esta solución"
"API Key","Clave API"
"API URL","API URL"
"Debug","Depurar"
"Webhook URL","URL del webhook"
